AAS  198	Directed Group Study           [001] (Chapman)
HIGR 299	Ph.D. Thesis Direction         [022] (Lu)
HIGR 299	Ph.D. Thesis Direction         [023] (Man)
HIGR 299	Ph.D. Thesis Direction         [024] (Matsumura)
HIGR 299	Ph.D. Thesis Direction         [025] (Molina)
HIGR 299	Ph.D. Thesis Direction         [026] (Monteon)
HIGR 299	Ph.D. Thesis Direction         [027] (Murillo)
HIGR 299	Ph.D. Thesis Direction         [028] (Patterson)
HIGR 299	Ph.D. Thesis Direction         [029] (Pickowicz)
HIGR 299	Ph.D. Thesis Direction         [030] (Plant)
HIGR 299	Ph.D. Thesis Direction         [031] (Prestholdt)
HIGR 299	Ph.D. Thesis Direction         [032] (Provence)
HIGR 299	Ph.D. Thesis Direction         [033] (Radcliff)
HIGR 299	Ph.D. Thesis Direction         [034] (Schneewind)
HIGR 299	Ph.D. Thesis Direction         [035] (Shafir)
HIGR 299	Ph.D. Thesis Direction         [036] (Strasser)
HIGR 299	Ph.D. Thesis Direction         [037] (Van Young)
HIGR 299	Ph.D. Thesis Direction         [038] (Vitz)
HIGR 299	Ph.D. Thesis Direction         [039] (Watts)
HIGR 299	Ph.D. Thesis Direction         [040] (Westman)
HIGR 299	Ph.D. Thesis Direction         [041] (Widener)
HIGR 500	Apprentice Teaching            [A00] (Schneewind)
HIGR 500	Apprentice Teaching            [B00] (Staff)
HIGR 500	Apprentice Teaching            [C00] (Graham)
HIGR 500	Apprentice Teaching            [D00] (Staff)
HILA 100	Conquest/Empire: The Americas  [A00] (Murillo)
HILA 114	Dictatorships in Latin America [A00] (Monteon)
HILA 162	Special Topics/Latin Amer Hist [C00] (Vitz)
HILA 199	Independnt Study/Latin America [001] (Staff)
HILA 262	Special Topics/Latin Amer Hist [C00] (Vitz)
HILD   2A	United States History          [A00] (Staff)
HILD   7A	Race & Ethnicity/United States [A00] (Graham)
HILD  10	East Asia: The Great Tradition [A00] (Schneewind)
HILD  30	History of Public Health       [A00] (Gonaver)
HINE 114	History/Islamic Middle East    [A00] (Kayali)
HINE 199	Independent Study/Near East    [001] (Staff)
HISC 107	Emergence of Modern Science    [A00] (Golan)
HISC 115	History Modern Medicine        [A00] (Gere)
HISC 199	Independent Study/History/Sci  [001] (Staff)
HITO  87	Freshman Seminar               [A00] (Patterson)
HITO  87	Freshman Seminar               [B00] (Patterson)
HITO  87	Freshman Seminar               [C00] (Hanna)
HITO 193	Research Seminar/Washington DC [A00] (Kernell)
HITO 194	History Honors                 [001] (Caciola)
HITO 194	History Honors                 [002] (Edington)
HITO 194	History Honors                 [003] (Gere)
HITO 194	History Honors                 [004] (Gerth)
HITO 194	History Honors                 [005] (Graham)
HITO 194	History Honors                 [006] (Kayali)
HITO 194	History Honors                 [007] (Kwak)
HITO 194	History Honors                 [008] (Plant)
HITO 196	Honors Seminar                 [A00] (Man)
HITO 199	Independent Study              [001] (Staff)
HIUS 104	The Revolutionary Atlantic     [A00] (Hanna)
HIUS 125	Asian American Social Movemnts [A00] (Man)
HIUS 130	Cultural Hist/1607
HIUS 150	American Legal History to 1865 [A00] (Parrish)
HIUS 156	American Women/Amern Womanhood [A00] (Plant)
HIUS 199	Independent Study/US History   [001] (Staff)
HLAW 207A	Princpls/Health Law & Policy A [A00] (Mackey)
HLAW 211	Foundtn/Law
HLAW 214	Health Policy/Law Independ Sdy [A00] (Mackey)
HLAW 215	Comparative Study HC Systems   [A00] (Kaplan)
HLAW 298	Directed Studies in Health Law [A00] (Mackey)
HLAW 298A	Health Law Research Forum
HLAW 299	Capstone for Health Policy/Law [A00] (Mackey)
HUM    3	Renaissance,Reform&Early Europ [A00] (Lyon)
HUM    3	Renaissance,Reform&Early Europ [B00] (Zroka)
HUM  198	Directed Group Study           [A00] (Lyon)
HUM  200	Seminar in the Humanities      [A00] (Cox)
HUM  501	Apprentice Teaching            [A00] (Lyon)
HUM  501	Apprentice Teaching            [B00] (Zroka)
ICAM 160A	Senior Projct/Computing Arts I [A00] (Alexander)
INTL 102	Econ, Politics & Intn'l Change [A00] (Walter)
INTL 190	Seminar/International Studies  [A00] (Auerbach)
INTL 190	Seminar/International Studies  [B00] (Clemens)
INTL 190	Seminar/International Studies  [C00] (Samstad)
INTL 190	Seminar/International Studies  [D00] (Desposato)
INTL 190	Seminar/International Studies  [F00] (Samphantharak)
INTL 190H	Honors Seminar/ Int'l Studies  [A00] (Gilson)
JAPN  10A	First Year Japanese I          [C00] (Simpson)
JAPN  10A	First Year Japanese I          [D00] (Inada)
JAPN  10A	First Year Japanese I          [E00] (Ross)
JAPN  10A	First Year Japanese I          [F00] (Simpson)
JAPN  10A	First Year Japanese I          [G00] (Tipton)
JAPN  10A	First Year Japanese I          [H00] (Maruyama)
JAPN  10A	First Year Japanese I          [I00] (Tipton)
JAPN  10A	First Year Japanese I          [J00] (Ross)
JAPN  10A	First Year Japanese I          [K00] (Ross)
JAPN  10A	First Year Japanese I          [L00] (Iwamoto)
JAPN  10A	First Year Japanese I          [M00] (Kamioka)
JAPN  10A	First Year Japanese I          [N00] (Iwamoto)
JAPN  10A	First Year Japanese I          [O00] (Kamioka)
JAPN  10A	First Year Japanese I          [P00] (Iwamoto)
JAPN  20A	Second Yr Japanese I           [A00] (Inada)
JAPN  20A	Second Yr Japanese I           [B00] (McKee)
JAPN  20A	Second Yr Japanese I           [C00] (McKee)
JAPN  20A	Second Yr Japanese I           [D00] (Inada)
JAPN  20A	Second Yr Japanese I           [E00] (Sato)
JAPN  20A	Second Yr Japanese I           [F00] (Maruyama)
JAPN  20A	Second Yr Japanese I           [G00] (Maruyama)
JAPN 130A	Third Year Japanese I          [A00] (Sato)
JAPN 130A	Third Year Japanese I          [B00] (Sato)
JAPN 135A	Japanese/Professional Purposes [A00] (Simpson)
JAPN 140A	Fourth Year Japanese I         [A00] (McKee)
JAPN 150A	Advanced Japanese I            [A00] (Tohsaku)
JAPN 500	Apprentice Teaching/ Language  [001] (Simpson)
JAPN 500	Apprentice Teaching/ Language  [002] (Inada)
JAPN 500	Apprentice Teaching/ Language  [003] (McKee)
JAPN 500	Apprentice Teaching/ Language  [004] (Sato)
JAPN 500	Apprentice Teaching/ Language  [005] (Takeda)
JAPN 500	Apprentice Teaching/ Language  [006] (Ross)
JAPN 500	Apprentice Teaching/ Language  [007] (Maruyama)
JAPN 500	Apprentice Teaching/ Language  [008] (Iwamoto)
JUDA   1	Beginning Hebrew               [A00] (Fermentto
JUDA 101	Introduction to Hebrew Texts   [A00] (Shuster)
JUDA 199	Independent Study              [001] (Staff)
LATI 122A	Fld Rsrch Mth/Migrtn Stdy: Sem [A00] (Wong)
LATI 200	Core Sem/Latin Americn Studies [A00] (Shirk)
LATI 222A	Fld Rsrch Meth/Migration/Semnr [A00] (Wong)
LATI 298	Directed Reading               [A00] (Monteon)
LATI 299	Independent Research           [001] (Hernandez)
LATI 299	Independent Research           [002] (Andrews)
LAWS 101	Contemporary Legal Issues      [A00] (Golan)
LHCO 201C	Tp/Healthcare Mgmt &Innovation [A00] (Kaplan)
LHCO 202	Strategic Mngmnt & Org Change  [A00] (Gilmer)
LHCO 212	Stats/Applied Decision
LHCO 214	Practical Business Comm Skills [A00] (Gilmer)
LHCO 215	Modern Healthcare              [A00] (Gilmer)
LHCO 219	Process Improvement
LHCO 298	ISP in the Mgmt of Healthcare  [A00] (Gilmer)
LIAB   1A	Arabic Conversation            [A00] (Saab)
LIAB   1A	Arabic Conversation            [B00] (Saab)
LIAB   1A	Arabic Conversation            [C00] (Saab)
LIAB   1A	Arabic Conversation            [D00] (El Cheddadi)
LIAB   1AX	Analysis of Arabic             [A00] (Akjeje)
LIAB   1AX	Analysis of Arabic             [B00] (Akjeje)
LIAB   1D	Arabic Conversation            [A00] (El Cheddadi)
LIAB   1D	Arabic Conversation            [B00] (El Cheddadi)
LIAB   1DX	Analysis of Arabic             [A00] (Akjeje)
LIDS  19	Directed Study
LIDS  19	Directed Study
LIDS  19	Directed Study
LIDS  19	Directed Study
LIDS  19	Directed Study
LIDS  19	Directed Study
LIDS  19	Directed Study
LIDS  19	Directed Study
LIDS  19	Directed Study
LIDS  19	Directed Study
LIDS  19	Directed Study
LIDS  19	Directed Study
LIFR   1A	French Conversation            [A00] (Riebeling)
LIFR   1A	French Conversation            [B00] (Riebeling)
LIFR   1A	French Conversation            [C00] (Riebeling)
LIFR   1A	French Conversation            [D00] (Riebeling)
LIFR   1A	French Conversation            [E00] (Riebeling)
LIFR   1A	French Conversation            [F00] (Riebeling)
LIFR   1A	French Conversation            [G00] (Riebeling)
LIFR   1AX	Analysis of French             [A00] (Riebeling)
LIFR   1AX	Analysis of French             [B00] (Riebeling)
LIFR   1AX	Analysis of French             [C00] (Riebeling)
LIFR   1B	French Conversation            [A00] (Riebeling)
LIFR   1B	French Conversation            [B00] (Riebeling)
LIFR   1B	French Conversation            [C00] (Riebeling)
LIFR   1BX	Analysis of French             [A00] (Riebeling)
LIFR   1D	French Conversation            [A00] (Goodall)
LIFR   1D	French Conversation            [B00] (Goodall)
LIFR   1D	French Conversation            [C00] (Goodall)
LIFR   1D	French Conversation            [D00] (Goodall)
LIFR   1DX	Analysis of French             [A00] (Goodall)
LIFR   1DX	Analysis of French             [B00] (Goodall)
LIFR  11	Elementary French Reading      [A00] (Goodall)
LIGM   1A	German Conversation            [A00] (Riebeling)
LIGM   1A	German Conversation            [B00] (Riebeling)
LIGM   1A	German Conversation            [C00] (Riebeling)
LIGM   1A	German Conversation            [D00] (Riebeling)
LIGM   1A	German Conversation            [E00] (Riebeling)
LIGM   1A	German Conversation            [F00] (Riebeling)
LIGM   1A	German Conversation            [G00] (Riebeling)
LIGM   1AX	Analysis of German             [A00] (Riebeling)
LIGM   1AX	Analysis of German             [B00] (Riebeling)
LIGM   1AX	Analysis of German             [C00] (Riebeling)
LIGM   1D	German Conversation            [A00] (Riebeling)
LIGM   1D	German Conversation            [B00] (Riebeling)
LIGM   1DX	Analysis of German             [A00] (Riebeling)
LIGM  11	Elementary German Reading      [A00] (Goodall)
LIGN   5	Linguistics of Invented Lang   [A00] (Goodall)
LIGN   8	Languages & Cultures/America   [A00] (Caballero)
LIGN 101	Introduction/Study of Language [A00] (Kehler)
LIGN 110	Phonetics                      [A00] (Bakovic)
LIGN 144	Discourse Analysis: ASL Poetr  [A00] (Lott)
LIGN 150	Historical Linguistics         [A00] (Staff)
LIGN 152	Indigenous Languages/Americas  [A00] (Caballero)
LIGN 155	Evolution of Language          [A00] (Kluender)
LIGN 171	Child Language Acquisition     [A00] (Mayberry)
LIGN 199	Independent Study/Linguistics  [001] (Bakovic)
LIGN 199	Independent Study/Linguistics  [002] (Goodall)
LIGN 199	Independent Study/Linguistics  [003] (Kehler)
LIGN 199	Independent Study/Linguistics  [004] (Kluender)
LIGN 199	Independent Study/Linguistics  [005] (Mayberry)
LIGN 199	Independent Study/Linguistics  [006] (Moore)
LIGN 199	Independent Study/Linguistics  [007] (Wittenberg)
LIGN 200	Research Forum                 [A00] (Wittenberg)
LIGN 211	Phonology                      [B00] (Bakovic)
LIGN 215	Topics In Phonology            [A00] (Bakovic)
LIGN 221	Syntax                         [A00] (Momma)
LIGN 272	Topics in Neurolinguistics     [A00] (Kluender)
LIGN 279	Topics in Language Acquisition [A00] (Mayberry)
LIGN 296	Directed Research              [001] (Ackerman)
LIGN 296	Directed Research              [002] (Bakovic)
LIGN 296	Directed Research              [003] (Caballero)
LIGN 296	Directed Research              [004] (Caponigro)
LIGN 296	Directed Research              [005] (Goodall)
LIGN 296	Directed Research              [006] (Kehler)
LIGN 296	Directed Research              [007] (Kluender)
LIGN 296	Directed Research              [008] (Mayberry)
LIGN 296	Directed Research              [009] (Rose)
LIGN 296	Directed Research              [010] (Wittenberg)
LIGN 299	Doctoral Research              [001] (Ackerman)
LIGN 299	Doctoral Research              [002] (Bakovic)
LIGN 299	Doctoral Research              [003] (Caballero)
LIGN 299	Doctoral Research              [004] (Caponigro)
LIGN 299	Doctoral Research              [005] (Goodall)
LIGN 299	Doctoral Research              [006] (Kehler)
LIGN 299	Doctoral Research              [007] (Kluender)
LIGN 299	Doctoral Research              [008] (Mayberry)
LIGN 299	Doctoral Research              [009] (Moore)
LIGN 502	Apprentice Teaching/Linguistcs [A00] (Caballero)
LIGN 502	Apprentice Teaching/Linguistcs [B00] (Kehler)
LIGN 502	Apprentice Teaching/Linguistcs [C00] (Bakovic)
LIGN 502	Apprentice Teaching/Linguistcs [D00] (Kluender)
LIGN 502	Apprentice Teaching/Linguistcs [E00] (Rose)
LIGN 502	Apprentice Teaching/Linguistcs [F00] (Staff)
LIGN 502	Apprentice Teaching/Linguistcs [G00] (Ackerman)
LIGN 503	Apprentc Teachn/Amer Sign Lang [A00] (Goodall)
LIGN 504	Apprentice Teaching of French  [A00] (Goodall)
LIGN 505	Apprentice Teaching of German  [A00] (Goodall)
LIGN 506	Apprentice Teaching of Italian [A00] (Goodall)
LIGN 507	Apprentice Teaching of Spanish [A00] (Goodall)
LIGN 508	Apprentc Teachn/Directed Study [A00] (Goodall)
LIGN 509	Apprentc Teachn/Head TA        [A00] (Goodall)
LIGN 510	Apprentice Teaching of Arabic  [A00] (Goodall)
LIGN 511	Apprentice Teaching/Portugese  [A00] (Goodall)
LIGN 512	Apprentice Teaching/Korean     [A00] (Moore)
LIGN 513	Apprentice Teaching/Vietnamese [A00] (Moore)
LIHL 112F	Filipino for Filipino Speakers [A00] (Alicio)
LIHL 114F	Beginning Vietnamese for Vietn [A00] (Hill)
LIHL 115F	Korean for Korean Speakers     [A00] (Moore)
LIHL 117F	Persian for Persian Speakers   [A00] (Sadegholvad)
LIHL 119F	Hindi for Hindi Speakers       [A00] (Moore)
LIHL 124F	Int Vietnamese/Vietnamese Spkr [A00] (Hill)
LIHL 132F	Adv Filipino/Filipino Spkrs    [A00] (Alicio)
LIHL 134F	Adv Vietnamese/Vietnamese Spkr [A00] (Hill)
LIIT   1A	Italian Conversation           [A00] (Riebeling)
LIIT   1A	Italian Conversation           [B00] (Riebeling)
LIIT   1A	Italian Conversation           [C00] (Riebeling)
LIIT   1A	Italian Conversation           [D00] (Riebeling)
LIIT   1AX	Analysis of Italian            [A00] (Riebeling)
LIIT   1AX	Analysis of Italian            [B00] (Riebeling)
LIIT   1D	Italian Conversation           [A00] (Riebeling)
LIIT   1DX	Analysis of Italian            [A00] (Riebeling)
LIPO   1A	Portuguese Conversation        [A00] (Paladini)
LIPO   1A	Portuguese Conversation        [B00] (Goodall)
LIPO   1A	Portuguese Conversation        [C00] (Paladini)
LIPO   1AX	Analysis of Portuguese         [A00] (De Abreu)
LIPO   1AX	Analysis of Portuguese         [B00] (De Abreu)
LIPO   1D	Portuguese Conversation        [A00] (Paladini)
LIPO   1DX	Analysis of Portuguese         [A00] (De Abreu)
LISL   1A	American Sign Lang Conversatn  [A00] (Lott)
LISL   1A	American Sign Lang Conversatn  [B00] (Lott)
LISL   1A	American Sign Lang Conversatn  [C00] (Lott)
LISL   1A	American Sign Lang Conversatn  [D00] (Lott)
LISL   1A	American Sign Lang Conversatn  [E00] (Lott)
LISL   1A	American Sign Lang Conversatn  [F00] (Lott)
LISL   1A	American Sign Lang Conversatn  [G00] (Lott)
LISL   1A	American Sign Lang Conversatn  [H00] (Lott)
LISL   1AX	Analysis of American Sign Lang [A00] (Lott)
LISL   1AX	Analysis of American Sign Lang [B00] (Lott)
LISL   1AX	Analysis of American Sign Lang [C00] (Lott)
LISL   1AX	Analysis of American Sign Lang [D00] (Lott)
LISL   1B	American Sign Lang Conversatn  [A00] (Lott)
LISL   1B	American Sign Lang Conversatn  [B00] (Lott)
LISL   1B	American Sign Lang Conversatn  [C00] (Lott)
LISL   1BX	Analysis of American Sign Lang [A00] (Lott)
LISL   1BX	Analysis of American Sign Lang [B00] (Lott)
LISL   1D	American Sign Lang Conversatn  [A00] (Lott)
LISL   1D	American Sign Lang Conversatn  [B00] (Lott)
LISL   1D	American Sign Lang Conversatn  [C00] (Lott)
LISL   1DX	Analysis of American Sign Lang [A00] (Lott)
LISL   1DX	Analysis of American Sign Lang [B00] (Lott)
LISP   1A	Spanish Conversation           [A00] (Munoz Sanchez)
LISP   1A	Spanish Conversation           [B00] (Munoz Sanchez)
LISP   1A	Spanish Conversation           [C00] (Munoz Sanchez)
LISP   1A	Spanish Conversation           [D00] (Munoz Sanchez)
LISP   1A	Spanish Conversation           [E00] (Munoz Sanchez)
LISP   1A	Spanish Conversation           [F00] (Munoz Sanchez)
LISP   1A	Spanish Conversation           [G00] (Munoz Sanchez)
LISP   1A	Spanish Conversation           [H00] (Munoz Sanchez)
LISP   1A	Spanish Conversation           [I00] (Munoz Sanchez)
LISP   1AX	Analysis of Spanish            [A00] (Munoz Sanchez)
LISP   1AX	Analysis of Spanish            [B00] (Munoz Sanchez)
LISP   1AX	Analysis of Spanish            [C00] (Munoz Sanchez)
LISP   1AX	Analysis of Spanish            [D00] (Munoz Sanchez)
LISP   1B	Spanish Conversation           [A00] (Munoz Sanchez)
LISP   1B	Spanish Conversation           [B00] (Munoz Sanchez)
LISP   1B	Spanish Conversation           [C00] (Munoz Sanchez)
LISP   1B	Spanish Conversation           [D00] (Munoz Sanchez)
LISP   1B	Spanish Conversation           [E00] (Munoz Sanchez)
LISP   1B	Spanish Conversation           [F00] (Munoz Sanchez)
LISP   1B	Spanish Conversation           [G00] (Munoz Sanchez)
LISP   1B	Spanish Conversation           [H00] (Munoz Sanchez)
LISP   1B	Spanish Conversation           [I00] (Munoz Sanchez)
LISP   1B	Spanish Conversation           [J00] (Munoz Sanchez)
LISP   1B	Spanish Conversation           [K00] (Munoz Sanchez)
LISP   1BX	Analysis of Spanish            [A00] (Munoz Sanchez)
LISP   1BX	Analysis of Spanish            [B00] (Munoz Sanchez)
LISP   1BX	Analysis of Spanish            [C00] (Munoz Sanchez)
LISP   1BX	Analysis of Spanish            [D00] (Munoz Sanchez)
LISP   1BX	Analysis of Spanish            [E00] (Munoz Sanchez)
LISP   1D	Spanish Conversation           [A00] (Munoz Sanchez)
LISP   1D	Spanish Conversation           [B00] (Munoz Sanchez)
LISP   1D	Spanish Conversation           [C00] (Munoz Sanchez)
LISP   1D	Spanish Conversation           [D00] (Munoz Sanchez)
LISP   1D	Spanish Conversation           [E00] (Munoz Sanchez)
LISP   1D	Spanish Conversation           [F00] (Munoz Sanchez)
LISP   1D	Spanish Conversation           [G00] (Munoz Sanchez)
LISP   1D	Spanish Conversation           [H00] (Munoz Sanchez)
LISP   1D	Spanish Conversation           [I00] (Munoz Sanchez)
LISP   1D	Spanish Conversation           [J00] (Munoz Sanchez)
LISP   1D	Spanish Conversation           [K00] (Munoz Sanchez)
LISP   1D	Spanish Conversation           [L00] (Munoz Sanchez)
LISP   1D	Spanish Conversation           [M00] (Munoz Sanchez)
LISP   1D	Spanish Conversation           [N00] (Munoz Sanchez)
LISP   1D	Spanish Conversation           [O00] (Munoz Sanchez)
LISP   1DX	Analysis of Spanish            [A00] (Munoz Sanchez)
LISP   1DX	Analysis of Spanish            [B00] (Munoz Sanchez)
LISP   1DX	Analysis of Spanish            [C00] (Munoz Sanchez)
LISP   1DX	Analysis of Spanish            [D00] (Munoz Sanchez)
LISP   1DX	Analysis of Spanish            [E00] (Munoz Sanchez)
LISP   1DX	Analysis of Spanish            [F00] (Munoz Sanchez)
LISP   1DX	Analysis of Spanish            [G00] (Munoz Sanchez)
LISP  15	Intermediate Spanish/Soc Sci   [A00] (Munoz Sanchez)
LISP  15	Intermediate Spanish/Soc Sci   [B00] (Munoz Sanchez)
LISP  15	Intermediate Spanish/Soc Sci   [C00] (Munoz Sanchez)
LTAM 110	Latin American Lit/Translation [A00] (Kokotovic)
LTCO 281	Literature and Film            [A00] (Zhang)
LTCO 297	Directed Studies:Readng Course [A00] (Blanco)
LTCO 298	Special Projects:Writng Course [001] (Sanchez)
LTCO 299	Dissertation                   [001] (Glaser)
LTCS  87	Freshman Seminar               [A00] (Wesling)
LTCS 110	Popular Culture                [A00] (Nguyen)
LTCS 130	Gender,Race/Ethn,Class&Culture [A00] (Nicolazzo)
LTCS 133	Globalization & Culture        [A00] (Woodhull)
LTCS 150	Topics in Cultural Studies     [A00] (Liao)
LTCS 172	Topics/Screening Race/Ethnicty [A00] (Nguyen)
LTCS 250	Topics in Cultural Studies     [A00] (Woodhull)
LTCS 297	Directed Studies: Reading Crse [001] (Nguyen)
LTCS 298	Special Projects: Writing Crse [001] (Zhang)
LTCS 299	Dissertation                   [001] (Sanchez)
LTCS 299	Dissertation                   [002] (Blanco)
LTCS 299	Dissertation                   [003] (Chacon)
LTEA 120B	Taiwan Films                   [A00] (Liao)
LTEN  21	Intro/Lit/Brit Isles: pre
LTEN  28	Intr/Asian
LTEN 112	Shakespeare I: Elizabethan Prd [A00] (Vitkus)
LTEN 124	Topics: The 19th Century       [A00] (Loose)
LTEN 148	Genres/English&American Lit    [A00] (Loose)
LTEN 159	Contemporary American Lit      [A00] (Wesling)
LTEN 175A	New Amer Fiction:WWII
LTEN 176	Major American Writers         [A00] (O'Brien)
LTEN 189	20th Century Postcolonial Lits [A00] (Suzuki)
LTEN 192	Senior Seminar in English Lit  [A00] (Loose)
LTEN 231	Restoration&18th Cen Eng Lit   [A00] (Nicolazzo)
LTEN 254	Topics
LTEN 297	Directed Studies:Readng Course [001] (Vitkus)
LTEN 297	Directed Studies:Readng Course [002] (Lerer)
LTEN 298	Special Projects:Writng Course [001] (Wesling)
LTEN 298	Special Projects:Writng Course [002] (Sanchez)
LTEN 298	Special Projects:Writng Course [003] (Vitkus)
LTEN 299	Dissertation                   [001] (Lerer)
LTEN 299	Dissertation                   [002] (Sanchez)
LTEN 299	Dissertation                   [003] (Streeby)
LTEN 299	Dissertation                   [004] (Nicolazzo)
LTEU 158	Single Author in Russian Lit   [A00] (Cassedy)
LTFR   2A	Intermediate French I          [A00] (Ploye)
LTFR   2B	Intermediate French II         [A00] (Ploye)
LTFR  50	Intermed French IV/Text Analy  [A00] (Ploye)
LTFR 115	Themes/Intellect&Literary Hist [A00] (Zhiri)
LTGK   1	Beginning Greek                [A00] (Myerston Santana)
LTGK 104	Greek Prose                    [A00] (duBois)
LTGM   2A	Intermediate German I          [A00] (Fischer
LTGM 100	GrmnStudiesI:Aesthetic Culture [B00] (Kontje)
LTIT   2A	Intermediate Italian I         [A00] (De Marchi Gherini)
LTIT 100	Intro/Literatures in Italian   [A00] (De Marchi Gherini)
LTKO   1A	Beginning Korean:First Yr. I   [A00] (Lee)
LTKO   1A	Beginning Korean:First Yr. I   [M00] (Lee)
LTKO   1A	Beginning Korean:First Yr. I   [N00] (Lee)
LTKO   1A	Beginning Korean:First Yr. I   [O00] (Lee)
LTKO   1A	Beginning Korean:First Yr. I   [P00] (Lee)
LTKO   1A	Beginning Korean:First Yr. I   [Q00] (Lee)
LTKO   1A	Beginning Korean:First Yr. I   [R00] (Lee)
LTKO   1A	Beginning Korean:First Yr. I   [S00] (Lee)
LTKO   2A	Intermediate Korean: 2nd Yr I  [A00] (Lee)
LTKO   2A	Intermediate Korean: 2nd Yr I  [B00] (Lee)
LTKO   2A	Intermediate Korean: 2nd Yr I  [D00] (Lee)
LTKO   3	Advanced Korean/Third Year     [A00] (Lee)
LTLA   1	Beginning Latin                [A00] (Wirshbo)
LTLA   1	Beginning Latin                [B00] (Mebane)
LTLA 100	Introductn/Latin Literature I  [A00] (Wirshbo)
LTLA 104	Latin Prose                    [A00] (Wirshbo)
LTRU   1A	First
LTRU   2A	Second Year Russian            [A00] (Wells)
LTRU 104B	Advanced Practicum in Russian  [A00] (Wells)
LTRU 123	Single Author in Russian Lit   [A00] (Cassedy)
LTSP   2A	Intermed Spanish I:Foundations [A00] (Pita)
LTSP   2A	Intermed Spanish I:Foundations [B00] (Pita)
LTSP   2B	Intermed Spanish II:Read&Comp  [A00] (Pita)
LTSP   2B	Intermed Spanish II:Read&Comp  [B00] (Pita)
LTSP   2D	Int/Adv Spanish
LTSP  50A	Readings/Peninsular Literature [A00] (Pita)
LTSP  50A	Readings/Peninsular Literature [B00] (Pita)
LTSP 130B	Develop/Latin Amer Literature  [A00] (Sanchez)
LTSP 140	Latin American Novel           [A00] (Chacon)
LTSP 172	Indigenista Themes/Latin
LTSP 177	Literary & Hist'l Migration    [A00] (Kokotovic)
LTSP 297	Directed Studies:Readng Course [001] (Kokotovic)
LTSP 299	Dissertation                   [001] (Kokotovic)
LTSP 299	Dissertation                   [002] (Sanchez)
LTTH 200A	Text/Culture/Critical Practice [A00] (Vitkus)
LTWL  19A	Intro/Ancient Greeks & Romans  [A00] (Mebane)
LTWL  87	Freshman Seminar               [A00] (Lampert
LTWL  87	Freshman Seminar               [B00] (Lampert
LTWL 136	Socially Engaged Buddhism      [A00] (Cohen)
LTWL 138	Critical Religion Studies      [A00] (Kalleres)
LTWL 176	Literature and Ideas           [A00] (Jed)
LTWL 184	Film Studies&Lit:Analysis/Txt  [A00] (Cohen)
LTWL 194	Capstone Course for Lit Majors [B00] (Kontje)
LTWL 500	Apprentice Teaching/Literature [A00] (Lerer)
LTWL 500	Apprentice Teaching/Literature [B00] (Suzuki)
LTWL 500	Apprentice Teaching/Literature [C00] (Springer)
LTWL 500	Apprentice Teaching/Literature [D00] (Som)
LTWL 500	Apprentice Teaching/Literature [E00] (Ploye)
LTWL 500	Apprentice Teaching/Literature [F00] (Lee)
LTWL 500	Apprentice Teaching/Literature [G00] (Wells)
LTWL 500	Apprentice Teaching/Literature [H00] (Pita)
LTWR   8A	Writing Fiction                [A00] (Springer)
LTWR   8B	Writing Poetry                 [A00] (Som)
LTWR 100	Short Fiction Workshop         [A00] (Hoang)
LTWR 102	Poetry Workshop                [A00] (Som)
LTWR 110	Screen Writing                 [A00] (Banales)
LTWR 115	Experimental Writing Workshop  [A00] (Springer)
LTWR 120	Personal Narrative Workshop    [A00] (Lerer)
LTWR 129	Distributing Literature Wrkshp [A00] (Banales)
LTWR 194	Capstone Course for Writing    [A00] (Doller)
LTWR 195	Apprentice Teaching            [A00] (Springer)
LTWR 195	Apprentice Teaching            [B00] (Som)
LTWR 215	Cross
LTWR 298	Special Projects: Writing Crse [A00] (Kohn)
MAE    2	Intro to Aerospace Engineering [A00] (Anderson)
MAE    3	Intro/Engineering Graphcs&Desn [A00] (Delson)
MAE    5	Quantitative Computer Skills   [A00] (Gibson)
MAE    8	MATLAB Program for Engr Analys [A00] (Pham)
MAE   20	Elements of Materials Science  [A00] (Meyers)
MAE  101A	Introductory Fluid Mechanics   [A00] (Krasheninnikov)
MAE  101C	Heat Transfer                  [A00] (Chen)
MAE  104	Aerodynamics                   [A00] (Del Alamo)
MAE  105	Intro To Mathematical Physics  [A00] (Saintillan)
MAE  105	Intro To Mathematical Physics  [B00] (Becker)
MAE  107	Computational Methods/Engineer [A00] (McEneaney)
MAE  110A	Thermodynamics                 [A00] (Nomura)
MAE  122	Flow & Transport/Environment   [A00] (Pawlak)
MAE  130A	Mechanics I: Statics           [A00] (Van Den Einde)
MAE  130C	Mechanics III: Vibrations      [A00] (Zhu)
MAE  131A	Solid Mechanics I              [A00] (Bahadori)
MAE  140	Linear Circuits                [A00] (de Oliveira)
MAE  144	Embedded Control & Robotics    [A00] (Bewley)
MAE  150	Computer
MAE  156A	Fund. Prin./Mechanical Desgn I [A00] (Gravish)
MAE  166	Nanomaterials                  [A00] (Xu)
MAE  170	Experimental Techniques        [A00] (Garay)
MAE  170	Experimental Techniques        [B00] (Lal)
MAE  181	Space Mission Analysis/Design  [A00] (Bahadori)
MAE  198	Directed Group Study           [A00] (de Oliveira)
MAE  198	Directed Group Study           [B00] (Anderson)
MAE  199	Independent Study/Undergrads   [001] (Bewley)
MAE  199	Independent Study/Undergrads   [002] (Graeve)
